"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Y1","HC49/4H_SMX_CRYSTAL","12.25mm","35.6mm","7.5mm","35.6mm","7.5mm","35.6mm","T","360.00","8MHz"
"U2","TD03B_N","30.7mm","32mm","27.1mm","32mm","34.3mm","34.2mm","T","90.00","AP1117"
"U1","QFP50P1200X1200X120-64","11.75mm","23.05mm","8mm","17.3mm","8mm","17.3mm","T","90.00","PIC32MX764F128H-I/PT"
"R4","RESC1608N","23.7mm","22.15mm","23.7mm","21.4mm","23.7mm","21.4mm","T","90.00","470r"
"R3","RESC1608N","7.05mm","14.7mm","6.3mm","14.7mm","6.3mm","14.7mm","T","0.00","4.7k"
"R2","RESC1608N","2.9mm","42.25mm","2.9mm","41.5mm","2.9mm","41.5mm","T","90.00","330r"
"R2","RESC1608N","8mm","42.25mm","8mm","41.5mm","8mm","41.5mm","T","90.00","330r"
"R2","RESC1608N","34.8mm","42.25mm","34.8mm","41.5mm","34.8mm","41.5mm","T","90.00","330r"
"R2","RESC1608N","39.4mm","42.25mm","39.4mm","41.5mm","39.4mm","41.5mm","T","90.00","330r"
"R1","PDB181-K415K-102A2","21.4mm","44.7mm","12.9mm","38.8mm","16.4mm","44.7mm","T","0.00","10k"
"P2","PHOENIX_1985195","25.9mm","8.5mm","20.9mm","1.3mm","27.65mm","6mm","T","0.00","12V Battery"
"P1","PHOENIX_1985195","36.5mm","8.5mm","31.5mm","1.3mm","38.25mm","6mm","T","0.00","12V Main"
"J1","RJ12_90","8.2mm","7.35mm","1.6mm","-5mm","5mm","9.25mm","T","0.00","Program / Debug"
"FB1","INDC1608AN","27.15mm","26.4mm","27.9mm","26.4mm","27.9mm","26.4mm","T","180.00","600r"
"D4","LED_0805","23.7mm","18.95mm","23.7mm","18mm","23.7mm","19.9mm","T","90.00","Green LED"
"D3","SMA/DO-214AC_21","27.7mm","19.65mm","27.7mm","21.3mm","27.7mm","18mm","T","270.00","GF1A"
"D2","SMA/DO-214AC_21","38.1mm","19.65mm","38.1mm","21.3mm","38.1mm","18mm","T","270.00","GF1A"
"LED3","LED_0805","2.9mm","45.75mm","2.9mm","46.7mm","2.9mm","44.8mm","T","270.00","Green LED"
"LED2","LED_0805","8mm","45.75mm","8mm","46.7mm","8mm","44.8mm","T","270.00","Green LED"
"LED1","LED_0805","34.8mm","45.75mm","34.8mm","46.7mm","34.8mm","44.8mm","T","270.00","Green LED"
"LED0","LED_0805","39.4mm","45.85mm","39.4mm","46.8mm","39.4mm","44.9mm","T","270.00","Green LED"
"C15","CAPC1608N","24.7mm","25.65mm","24.7mm","24.9mm","24.7mm","24.9mm","T","90.00","100nF"
"C14","CAPC1608N","29.8mm","25.65mm","29.8mm","24.9mm","29.8mm","24.9mm","T","90.00","1uF"
"C13","CAPC2012N","33.8mm","25.75mm","33.8mm","24.8mm","33.8mm","24.8mm","T","90.00","10uF"
"C12","CAPC2012N","38.1mm","32.05mm","38.1mm","33mm","38.1mm","33mm","T","270.00","10uF"
"C11","CAPC2012N","33.4mm","19.95mm","33.4mm","19mm","33.4mm","19mm","T","90.00","10uF"
"C10","CAPC1608N","3.6mm","24.55mm","3.6mm","25.3mm","3.6mm","25.3mm","T","270.00","1uF"
"C9","CAPC2012N","1.3mm","24.55mm","1.3mm","25.5mm","1.3mm","25.5mm","T","270.00","10uF"
"C8","CAPC1608N","10.95mm","32.5mm","10.2mm","32.5mm","10.2mm","32.5mm","T","360.00","20pF"
"C7","CAPC1608N","13.45mm","32.5mm","14.2mm","32.5mm","14.2mm","32.5mm","T","180.00","20pF"
"C6","CAPC1608N","19.9mm","20.45mm","19.9mm","21.2mm","19.9mm","21.2mm","T","270.00","100nF"
"C5","CAPC1608N","3.6mm","21.35mm","3.6mm","20.6mm","3.6mm","20.6mm","T","90.00","100nF"
"C4","CAPC1608N","16.15mm","31.9mm","16.9mm","31.9mm","16.9mm","31.9mm","T","180.00","100nF"
"C3","CAPC1608N","16.15mm","30.6mm","16.9mm","30.6mm","16.9mm","30.6mm","T","180.00","100nF"
"C2","CAPC1608N","19.9mm","23.1mm","19.9mm","22.35mm","19.9mm","22.35mm","T","90.00","100nF"
"C1","CAPC1608N","12.25mm","15mm","11.5mm","15mm","11.5mm","15mm","T","0.00","100nF"

